resume_text,job_description,match_score,match_label,match_label_lower,resume_len,jd_len
"Business Analyst with 4 years of experience in NLP, React, Leadership and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: NLP, React, Leadership, C++. Experience with team collaboration preferred.",0.91,high,high,21,20
"Business Analyst with 4 years of experience in AWS, Cybersecurity, NLP and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: AWS, Cybersecurity, NLP, TensorFlow. Experience with team collaboration preferred.",0.81,medium,medium,22,20
"Python Developer with 5 years of experience in Python, Pandas, Power BI and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Python Developer at a growing company. Required skills: Python, Pandas, Power BI, Communication. Experience with team collaboration preferred.",0.66,medium,medium,22,21
"Product Manager with 3 years of experience in Pandas, Communication, Linux and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Pandas, Communication, Linux, Kubernetes. Experience with team collaboration preferred.",0.51,medium,medium,21,20
"Python Developer with 8 years of experience in AWS, Leadership, Node.js and SQL. Worked on enterprise applications and delivered scalable solutions.","Looking for a Python Developer at a growing company. Required skills: AWS, Leadership, Node.js, Git. Experience with team collaboration preferred.",0.79,medium,medium,21,20
"HEALTHCARE ANALYST WITH 3 YEARS OF EXPERIENCE IN SQL, FASTAPI, AWS AND CYBERSECURITY. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Healthcare Analyst at a growing company. Required skills: SQL, FastAPI, AWS, TensorFlow. Experience with team collaboration preferred.",0.76,medium,medium,21,20
"Full Stack Developer with 6 years of experience in FastAPI, Pandas, Docker and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: FastAPI, Pandas, Docker, Power BI. Experience with team collaboration preferred.",0.74,medium,medium,22,22
"Cybersecurity Analyst with 8 years of experience in Communication, React, Machine Learning and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: Communication, React, Machine Learning, Communication. Experience with team collaboration preferred.",0.89,high,high,22,21
"Business Analyst with 3 years of experience in AWS, Java, Docker and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: AWS, Java, Docker, NLP. Experience with team collaboration preferred.",0.63,low,low,21,20
"Sales Manager with 4 years of experience in Pandas, C++, Java and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: Pandas, C++, Java, TensorFlow. Experience with team collaboration preferred.",0.92,high,high,21,20
"Cloud Engineer with 5 years of experience in Docker, Linux, TensorFlow and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Docker, Linux, TensorFlow, FastAPI. Experience with team collaboration preferred.",0.62,low,low,21,20
"AI Engineer with 4 years of experience in AWS, Git, Java and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: AWS, Git, Java, Leadership. Experience with team collaboration preferred.",0.75,medium,medium,21,20
"Healthcare Analyst with 2 years of experience in FastAPI, Python, NLP and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: FastAPI, Python, NLP, Git. Experience with team collaboration preferred.",0.57,low,low,21,20
"DevOps Engineer with 8 years of experience in Cybersecurity, React, C++ and Docker. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: Cybersecurity, React, C++, Python. Experience with team collaboration preferred.",0.77,medium,medium,21,20
"Frontend Developer with 9 years of experience in Leadership, TensorFlow, Kubernetes and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Leadership, TensorFlow, Kubernetes, Leadership. Experience with team collaboration preferred.",0.9,high,high,21,20
"Sales Manager with 4 years of experience in Machine Learning, Python, Leadership and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: Machine Learning, Python, Leadership, Docker. Experience with team collaboration preferred.",0.73,medium,medium,22,21
"Cloud Engineer with 9 years of experience in Pandas, AWS, Python and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Pandas, AWS, Python, Docker. Experience with team collaboration preferred.",0.8,medium,medium,22,20
"Product Manager with 3 years of experience in Linux, Git, Docker and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Linux, Git, Docker, Power BI. Experience with team collaboration preferred.",0.77,medium,medium,21,21
"Data Analyst with 8 years of experience in Docker, Linux, C++ and Git. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Docker, Linux, C++, Communication. Experience with team collaboration preferred.",0.95,high,high,21,20
"Java Developer with 4 years of experience in React, Git, Pandas and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: React, Git, Pandas, Pandas. Experience with team collaboration preferred.",0.77,medium,medium,21,20
"DevOps Engineer with 8 years of experience in Cybersecurity, Machine Learning, Java and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: Cybersecurity, Machine Learning, Java, Leadership. Experience with team collaboration preferred.",0.66,medium,medium,22,21
"Full Stack Developer with 2 years of experience in Git, Kubernetes, AWS and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Git, Kubernetes, AWS, SQL. Experience with team collaboration preferred.",0.84,medium,medium,22,21
"UI/UX Designer with 3 years of experience in Docker, React, Git and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Docker, React, Git, Node.js. Experience with team collaboration preferred.",0.53,low,low,21,20
"UI/UX Designer with 4 years of experience in SQL, Java, Leadership and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: SQL, Java, Leadership, C++. Experience with team collaboration preferred.",0.96,high,high,21,20
"Cloud Engineer with 1 years of experience in Java, Python, Cybersecurity and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Java, Python, Cybersecurity, Machine Learning. Experience with team collaboration preferred.",0.91,high,high,21,21
"Backend Developer with 7 years of experience in Pandas, Leadership, Python and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: Pandas, Leadership, Python, Leadership. Experience with team collaboration preferred.",0.47,low,low,21,20
"UI/UX Designer with 2 years of experience in TensorFlow, Machine Learning, Java and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: TensorFlow, Machine Learning, Java, Machine Learning. Experience with team collaboration preferred.",0.8,medium,medium,22,22
"Cloud Engineer with 2 years of experience in Leadership, Python, Kubernetes and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Leadership, Python, Kubernetes, SQL. Experience with team collaboration preferred.",0.78,medium,medium,21,20
"Data Analyst with 2 years of experience in Java, Docker, Pandas and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Java, Docker, Pandas, Power BI. Experience with team collaboration preferred.",0.57,low,low,21,21
"AI Engineer with 5 years of experience in Cybersecurity, React, C++ and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: Cybersecurity, React, C++, Power BI. Experience with team collaboration preferred.",0.47,low,low,21,21
"Product Manager with 2 years of experience in C++, Leadership, Node.js and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: C++, Leadership, Node.js, Kubernetes. Experience with team collaboration preferred.",0.63,low,low,22,20
"Frontend Developer with 1 years of experience in Python, Cybersecurity, TensorFlow and Kubernetes. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Python, Cybersecurity, TensorFlow, Java. Experience with team collaboration preferred.",0.64,low,low,21,20
"Backend Developer with 4 years of experience in Python, React, Docker and NLP. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: Python, React, Docker, Python. Experience with team collaboration preferred.",0.83,medium,medium,21,20
"BACKEND DEVELOPER WITH 5 YEARS OF EXPERIENCE IN COMMUNICATION, GIT, JAVA AND NLP. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Backend Developer at a growing company. Required skills: Communication, Git, Java, React. Experience with team collaboration preferred.",0.74,medium,medium,21,20
"Product Manager with 9 years of experience in FastAPI, NLP, SQL and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: FastAPI, NLP, SQL, Kubernetes. Experience with team collaboration preferred.",0.87,high,high,21,20
"Cloud Engineer with 4 years of experience in Python, Pandas, Machine Learning and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Python, Pandas, Machine Learning, Leadership. Experience with team collaboration preferred.",0.46,low,low,22,21
"Frontend Developer with 8 years of experience in Power BI, NLP, AWS and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Power BI, NLP, AWS, Leadership. Experience with team collaboration preferred.",0.87,high,high,22,21
"PYTHON DEVELOPER WITH 4 YEARS OF EXPERIENCE IN CYBERSECURITY, C++, NODE.JS AND LEADERSHIP. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Python Developer at a growing company. Required skills: Cybersecurity, C++, Node.js, Python. Experience with team collaboration preferred.",0.58,low,low,21,20
"Java Developer with 10 years of experience in NLP, Python, Cybersecurity and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: NLP, Python, Cybersecurity, Cybersecurity. Experience with team collaboration preferred.",0.57,medium,medium,22,20
"Full Stack Developer with 6 years of experience in AWS, NLP, TensorFlow and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: AWS, NLP, TensorFlow, Cybersecurity. Experience with team collaboration preferred.",0.97,high,high,22,21
"Java Developer with 3 years of experience in Power BI, C++, AWS and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: Power BI, C++, AWS, Python. Experience with team collaboration preferred.",0.72,medium,medium,22,21
"AI Engineer with 10 years of experience in AWS, Kubernetes, Docker and NLP. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: AWS, Kubernetes, Docker, AWS. Experience with team collaboration preferred.",0.86,high,high,21,20
"Sales Manager with 2 years of experience in Machine Learning, Power BI, Node.js and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: Machine Learning, Power BI, Node.js, TensorFlow. Experience with team collaboration preferred.",0.88,high,high,23,22
"DATA ANALYST WITH 7 YEARS OF EXPERIENCE IN FASTAPI, COMMUNICATION, NODE.JS AND TENSORFLOW. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Data Analyst at a growing company. Required skills: FastAPI, Communication, Node.js, Cybersecurity. Experience with team collaboration preferred.",0.75,medium,medium,21,20
"Product Manager with 6 years of experience in Linux, AWS, Kubernetes and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Linux, AWS, Kubernetes, React. Experience with team collaboration preferred.",0.52,low,low,21,20
"ML Engineer with 8 years of experience in AWS, Communication, Docker and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: AWS, Communication, Docker, FastAPI. Experience with team collaboration preferred.",0.51,high,high,21,20
"Frontend Developer with 7 years of experience in Node.js, Docker, AWS and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Node.js, Docker, AWS, Kubernetes. Experience with team collaboration preferred.",0.97,high,high,21,20
"Frontend Developer with 4 years of experience in Git, C++, SQL and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Git, C++, SQL, Power BI. Experience with team collaboration preferred.",0.97,high,high,21,21
"DevOps Engineer with 5 years of experience in Java, Docker, C++ and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: Java, Docker, C++, SQL. Experience with team collaboration preferred.",0.85,high,high,21,20
"UI/UX Designer with 1 years of experience in Git, Machine Learning, FastAPI and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Git, Machine Learning, FastAPI, Kubernetes. Experience with team collaboration preferred.",0.7,medium,medium,22,21
"Business Analyst with 5 years of experience in SQL, Communication, Kubernetes and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: SQL, Communication, Kubernetes, Python. Experience with team collaboration preferred.",0.79,medium,medium,22,20
"DevOps Engineer with 1 years of experience in AWS, Cybersecurity, Python and Docker. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: AWS, Cybersecurity, Python, Power BI. Experience with team collaboration preferred.",0.48,low,low,21,21
"PYTHON DEVELOPER WITH 9 YEARS OF EXPERIENCE IN GIT, DOCKER, PYTHON AND TENSORFLOW. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Python Developer at a growing company. Required skills: Git, Docker, Python, Docker. Experience with team collaboration preferred.",0.71,medium,medium,21,20
"Business Analyst with 8 years of experience in Git, Kubernetes, Node.js and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Git, Kubernetes, Node.js, Node.js. Experience with team collaboration preferred.",0.69,medium,medium,21,20
"Frontend Developer with 3 years of experience in React, TensorFlow, Kubernetes and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: React, TensorFlow, Kubernetes, FastAPI. Experience with team collaboration preferred.",0.78,medium,medium,21,20
"UI/UX Designer with 9 years of experience in Machine Learning, Leadership, SQL and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Machine Learning, Leadership, SQL, Python. Experience with team collaboration preferred.",0.89,high,high,22,21
"Business Analyst with 1 years of experience in Git, Cybersecurity, Kubernetes and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Git, Cybersecurity, Kubernetes, C++. Experience with team collaboration preferred.",0.47,low,low,21,20
"Cloud Engineer with 6 years of experience in Docker, Java, TensorFlow and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Docker, Java, TensorFlow, Cybersecurity. Experience with team collaboration preferred.",0.94,high,high,21,20
"Business Analyst with 7 years of experience in Docker, Node.js, Cybersecurity and NLP. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Docker, Node.js, Cybersecurity, C++. Experience with team collaboration preferred.",0.77,medium,medium,21,20
"BUSINESS ANALYST WITH 9 YEARS OF EXPERIENCE IN C++, MACHINE LEARNING, POWER BI AND CYBERSECURITY. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Business Analyst at a growing company. Required skills: C++, Machine Learning, Power BI, Pandas. Experience with team collaboration preferred.",0.68,medium,medium,23,22
"Healthcare Analyst with 6 years of experience in Python, AWS, C++ and Docker. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: Python, AWS, C++, Power BI. Experience with team collaboration preferred.",0.62,low,low,21,21
"Backend Developer with 4 years of experience in Power BI, Node.js, NLP and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: Power BI, Node.js, NLP, Cybersecurity. Experience with team collaboration preferred.",0.54,low,low,22,21
"Cybersecurity Analyst with 6 years of experience in Docker, Communication, Power BI and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: Docker, Communication, Power BI, Kubernetes. Experience with team collaboration preferred.",0.86,high,high,22,21
"Cybersecurity Analyst with 7 years of experience in Cybersecurity, FastAPI, NLP and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: Cybersecurity, FastAPI, NLP, Pandas. Experience with team collaboration preferred.",0.47,low,low,21,20
"Java Developer with 9 years of experience in TensorFlow, SQL, React and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: TensorFlow, SQL, React, NLP. Experience with team collaboration preferred.",0.89,high,high,22,20
"Frontend Developer with 2 years of experience in Linux, C++, Kubernetes and SQL. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Linux, C++, Kubernetes, Java. Experience with team collaboration preferred.",0.93,high,high,21,20
"Data Analyst with 1 years of experience in Git, NLP, Java and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Git, NLP, Java, AWS. Experience with team collaboration preferred.",0.8,medium,medium,21,20
"Full Stack Developer with 7 years of experience in Git, Kubernetes, NLP and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Git, Kubernetes, NLP, TensorFlow. Experience with team collaboration preferred.",0.87,high,high,22,21
"FRONTEND DEVELOPER WITH 10 YEARS OF EXPERIENCE IN GIT, POWER BI, REACT AND SQL. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Frontend Developer at a growing company. Required skills: Git, Power BI, React, Kubernetes. Experience with team collaboration preferred.",0.82,medium,medium,22,21
"DEVOPS ENGINEER WITH 9 YEARS OF EXPERIENCE IN LEADERSHIP, MACHINE LEARNING, PANDAS AND COMMUNICATION. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a DevOps Engineer at a growing company. Required skills: Leadership, Machine Learning, Pandas, TensorFlow. Experience with team collaboration preferred.",0.69,medium,medium,22,21
"Full Stack Developer with 7 years of experience in Pandas, Cybersecurity, Communication and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Pandas, Cybersecurity, Communication, NLP. Experience with team collaboration preferred.",0.71,medium,medium,22,21
"Healthcare Analyst with 8 years of experience in Java, SQL, Python and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: Java, SQL, Python, FastAPI. Experience with team collaboration preferred.",0.73,medium,medium,21,20
"Data Analyst with 9 years of experience in FastAPI, Power BI, React and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: FastAPI, Power BI, React, Power BI. Experience with team collaboration preferred.",0.68,medium,medium,22,22
