resume_text,job_description,match_score,match_label
"PRODUCT MANAGER WITH 5 YEARS OF EXPERIENCE IN REACT, AWS, PANDAS AND POWER BI. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Product Manager at a growing company. Required skills: React, AWS, Pandas, Power BI. Experience with team collaboration preferred.",0.77,medium
"UI/UX Designer with 4 years of experience in Leadership, TensorFlow, SQL and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Leadership, TensorFlow, SQL, Communication. Experience with team collaboration preferred.",0.47,low
"ML Engineer with 5 years of experience in Linux, SQL, NLP and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: Linux, SQL, NLP, C++. Experience with team collaboration preferred.",0.97,high
"BUSINESS ANALYST WITH 10 YEARS OF EXPERIENCE IN PANDAS, PYTHON, C++ AND NODE.JS. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Business Analyst at a growing company. Required skills: Pandas, Python, C++, Python. Experience with team collaboration preferred.",0.55,low
"ML Engineer with 4 years of experience in Communication, Power BI, Leadership and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: Communication, Power BI, Leadership, TensorFlow. Experience with team collaboration preferred.",0.62,low
"Product Manager with 5 years of experience in C++, Leadership, SQL and Kubernetes. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: C++, Leadership, SQL, Java. Experience with team collaboration preferred.",0.63,low
"Cybersecurity Analyst with 5 years of experience in React, C++, TensorFlow and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: React, C++, TensorFlow, Pandas. Experience with team collaboration preferred.",0.85,high
"Sales Manager with 9 years of experience in Kubernetes, Leadership, AWS and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: Kubernetes, Leadership, AWS, C++. Experience with team collaboration preferred.",0.7,medium
"Product Manager with 10 years of experience in Machine Learning, AWS, Linux and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Machine Learning, AWS, Linux, Node.js. Experience with team collaboration preferred.",0.59,low
"Backend Developer with 10 years of experience in TensorFlow, Node.js, Java and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: TensorFlow, Node.js, Java, FastAPI. Experience with team collaboration preferred.",0.65,medium
"DevOps Engineer with 4 years of experience in Cybersecurity, C++, NLP and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: Cybersecurity, C++, NLP, React. Experience with team collaboration preferred.",0.47,low
"Python Developer with 4 years of experience in React, Node.js, Machine Learning and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Python Developer at a growing company. Required skills: React, Node.js, Machine Learning, Machine Learning. Experience with team collaboration preferred.",0.72,medium
"Product Manager with 2 years of experience in Node.js, NLP, Docker and Git. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Node.js, NLP, Docker, Python. Experience with team collaboration preferred.",0.92,high
"Business Analyst with 4 years of experience in NLP, React, Leadership and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: NLP, React, Leadership, C++. Experience with team collaboration preferred.",0.91,high
"Business Analyst with 4 years of experience in AWS, Cybersecurity, NLP and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: AWS, Cybersecurity, NLP, TensorFlow. Experience with team collaboration preferred.",0.81,medium
"Python Developer with 5 years of experience in Python, Pandas, Power BI and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Python Developer at a growing company. Required skills: Python, Pandas, Power BI, Communication. Experience with team collaboration preferred.",0.66,medium
"AI Engineer with 9 years of experience in Python, React, Node.js and Kubernetes. Worked on enterprise applications and delivered scalable solutions.",,,high
"Product Manager with 3 years of experience in Pandas, Communication, Linux and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Pandas, Communication, Linux, Kubernetes. Experience with team collaboration preferred.",0.51,medium
"Python Developer with 8 years of experience in AWS, Leadership, Node.js and SQL. Worked on enterprise applications and delivered scalable solutions.","Looking for a Python Developer at a growing company. Required skills: AWS, Leadership, Node.js, Git. Experience with team collaboration preferred.",0.79,medium
"HEALTHCARE ANALYST WITH 3 YEARS OF EXPERIENCE IN SQL, FASTAPI, AWS AND CYBERSECURITY. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Healthcare Analyst at a growing company. Required skills: SQL, FastAPI, AWS, TensorFlow. Experience with team collaboration preferred.",0.76,medium
"Full Stack Developer with 6 years of experience in FastAPI, Pandas, Docker and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: FastAPI, Pandas, Docker, Power BI. Experience with team collaboration preferred.",0.74,medium
"Cybersecurity Analyst with 8 years of experience in Communication, React, Machine Learning and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: Communication, React, Machine Learning, Communication. Experience with team collaboration preferred.",0.89,high
"Business Analyst with 3 years of experience in AWS, Java, Docker and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: AWS, Java, Docker, NLP. Experience with team collaboration preferred.",0.63,low
"Sales Manager with 4 years of experience in Pandas, C++, Java and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: Pandas, C++, Java, TensorFlow. Experience with team collaboration preferred.",0.92,high
"Cloud Engineer with 5 years of experience in Docker, Linux, TensorFlow and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Docker, Linux, TensorFlow, FastAPI. Experience with team collaboration preferred.",0.62,low
"AI Engineer with 4 years of experience in AWS, Git, Java and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: AWS, Git, Java, Leadership. Experience with team collaboration preferred.",0.75,medium
"Healthcare Analyst with 2 years of experience in FastAPI, Python, NLP and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: FastAPI, Python, NLP, Git. Experience with team collaboration preferred.",0.57,low
"DevOps Engineer with 8 years of experience in Cybersecurity, React, C++ and Docker. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: Cybersecurity, React, C++, Python. Experience with team collaboration preferred.",0.77,medium
"Frontend Developer with 9 years of experience in Leadership, TensorFlow, Kubernetes and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Leadership, TensorFlow, Kubernetes, Leadership. Experience with team collaboration preferred.",0.9,high
"Sales Manager with 4 years of experience in Machine Learning, Python, Leadership and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: Machine Learning, Python, Leadership, Docker. Experience with team collaboration preferred.",0.73,medium
"Cloud Engineer with 9 years of experience in Pandas, AWS, Python and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Pandas, AWS, Python, Docker. Experience with team collaboration preferred.",0.8,medium
"Product Manager with 3 years of experience in Linux, Git, Docker and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Linux, Git, Docker, Power BI. Experience with team collaboration preferred.",0.77,medium
"Data Analyst with 8 years of experience in Docker, Linux, C++ and Git. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Docker, Linux, C++, Communication. Experience with team collaboration preferred.",0.95,high
"Java Developer with 4 years of experience in React, Git, Pandas and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: React, Git, Pandas, Pandas. Experience with team collaboration preferred.",0.77,medium
"Java Developer with 5 years of experience in Leadership, Linux, C++ and NLP. Worked on enterprise applications and delivered scalable solutions.",,0.85,high
"DevOps Engineer with 8 years of experience in Cybersecurity, Machine Learning, Java and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: Cybersecurity, Machine Learning, Java, Leadership. Experience with team collaboration preferred.",0.66,medium
"Full Stack Developer with 2 years of experience in Git, Kubernetes, AWS and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Git, Kubernetes, AWS, SQL. Experience with team collaboration preferred.",0.84,medium
"UI/UX Designer with 3 years of experience in Docker, React, Git and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Docker, React, Git, Node.js. Experience with team collaboration preferred.",0.53,low
"UI/UX Designer with 4 years of experience in SQL, Java, Leadership and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: SQL, Java, Leadership, C++. Experience with team collaboration preferred.",0.96,high
,"Looking for a Sales Manager at a growing company. Required skills: Git, TensorFlow, Java, TensorFlow. Experience with team collaboration preferred.",0.48,low
"Cloud Engineer with 1 years of experience in Java, Python, Cybersecurity and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Java, Python, Cybersecurity, Machine Learning. Experience with team collaboration preferred.",0.91,high
"Backend Developer with 7 years of experience in Pandas, Leadership, Python and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: Pandas, Leadership, Python, Leadership. Experience with team collaboration preferred.",0.47,low
"UI/UX Designer with 2 years of experience in TensorFlow, Machine Learning, Java and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: TensorFlow, Machine Learning, Java, Machine Learning. Experience with team collaboration preferred.",0.8,medium
"Cloud Engineer with 2 years of experience in Leadership, Python, Kubernetes and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Leadership, Python, Kubernetes, SQL. Experience with team collaboration preferred.",0.78,medium
"Data Analyst with 2 years of experience in Java, Docker, Pandas and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Java, Docker, Pandas, Power BI. Experience with team collaboration preferred.",0.57,low
,"Looking for a ML Engineer at a growing company. Required skills: Java, C++, Pandas, Leadership. Experience with team collaboration preferred.",0.9,high
"Frontend Developer with 2 years of experience in Communication, React, Machine Learning and Git. Worked on enterprise applications and delivered scalable solutions.",,0.67,medium
"AI Engineer with 5 years of experience in Cybersecurity, React, C++ and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: Cybersecurity, React, C++, Power BI. Experience with team collaboration preferred.",0.47,low
,"Looking for a Healthcare Analyst at a growing company. Required skills: React, Communication, Python, SQL. Experience with team collaboration preferred.",0.98,high
"Product Manager with 2 years of experience in C++, Leadership, Node.js and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: C++, Leadership, Node.js, Kubernetes. Experience with team collaboration preferred.",0.63,low
"Frontend Developer with 1 years of experience in Python, Cybersecurity, TensorFlow and Kubernetes. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Python, Cybersecurity, TensorFlow, Java. Experience with team collaboration preferred.",0.64,low
"Backend Developer with 4 years of experience in Python, React, Docker and NLP. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: Python, React, Docker, Python. Experience with team collaboration preferred.",0.83,medium
"BACKEND DEVELOPER WITH 5 YEARS OF EXPERIENCE IN COMMUNICATION, GIT, JAVA AND NLP. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Backend Developer at a growing company. Required skills: Communication, Git, Java, React. Experience with team collaboration preferred.",0.74,medium
"Product Manager with 9 years of experience in FastAPI, NLP, SQL and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: FastAPI, NLP, SQL, Kubernetes. Experience with team collaboration preferred.",0.87,high
,,0.8,medium
"ML Engineer with 5 years of experience in Docker, TensorFlow, Python and FastAPI. Worked on enterprise applications and delivered scalable solutions.",,0.89,high
"Cloud Engineer with 4 years of experience in Python, Pandas, Machine Learning and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Python, Pandas, Machine Learning, Leadership. Experience with team collaboration preferred.",0.46,low
"Frontend Developer with 8 years of experience in Power BI, NLP, AWS and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Power BI, NLP, AWS, Leadership. Experience with team collaboration preferred.",0.87,high
"PYTHON DEVELOPER WITH 4 YEARS OF EXPERIENCE IN CYBERSECURITY, C++, NODE.JS AND LEADERSHIP. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Python Developer at a growing company. Required skills: Cybersecurity, C++, Node.js, Python. Experience with team collaboration preferred.",0.58,low
"Java Developer with 10 years of experience in NLP, Python, Cybersecurity and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: NLP, Python, Cybersecurity, Cybersecurity. Experience with team collaboration preferred.",0.57,medium
"Full Stack Developer with 6 years of experience in AWS, NLP, TensorFlow and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: AWS, NLP, TensorFlow, Cybersecurity. Experience with team collaboration preferred.",0.97,high
"Java Developer with 3 years of experience in Power BI, C++, AWS and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: Power BI, C++, AWS, Python. Experience with team collaboration preferred.",0.72,medium
"AI Engineer with 10 years of experience in AWS, Kubernetes, Docker and NLP. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: AWS, Kubernetes, Docker, AWS. Experience with team collaboration preferred.",0.86,high
"Sales Manager with 2 years of experience in Machine Learning, Power BI, Node.js and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: Machine Learning, Power BI, Node.js, TensorFlow. Experience with team collaboration preferred.",0.88,high
"DATA ANALYST WITH 7 YEARS OF EXPERIENCE IN FASTAPI, COMMUNICATION, NODE.JS AND TENSORFLOW. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Data Analyst at a growing company. Required skills: FastAPI, Communication, Node.js, Cybersecurity. Experience with team collaboration preferred.",0.75,medium
"Product Manager with 6 years of experience in Linux, AWS, Kubernetes and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Linux, AWS, Kubernetes, React. Experience with team collaboration preferred.",0.52,low
"ML Engineer with 8 years of experience in AWS, Communication, Docker and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: AWS, Communication, Docker, FastAPI. Experience with team collaboration preferred.",0.51,high
"Frontend Developer with 7 years of experience in Node.js, Docker, AWS and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Node.js, Docker, AWS, Kubernetes. Experience with team collaboration preferred.",0.97,high
"Business Analyst with 2 years of experience in TensorFlow, Python, Communication and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: TensorFlow, Python, Communication, FastAPI. Experience with team collaboration preferred.",99.0,high
"Frontend Developer with 4 years of experience in Git, C++, SQL and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Git, C++, SQL, Power BI. Experience with team collaboration preferred.",0.97,high
"DevOps Engineer with 5 years of experience in Java, Docker, C++ and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: Java, Docker, C++, SQL. Experience with team collaboration preferred.",0.85,high
"UI/UX Designer with 1 years of experience in Git, Machine Learning, FastAPI and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Git, Machine Learning, FastAPI, Kubernetes. Experience with team collaboration preferred.",0.7,medium
"Business Analyst with 5 years of experience in SQL, Communication, Kubernetes and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: SQL, Communication, Kubernetes, Python. Experience with team collaboration preferred.",0.79,medium
"DevOps Engineer with 1 years of experience in AWS, Cybersecurity, Python and Docker. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: AWS, Cybersecurity, Python, Power BI. Experience with team collaboration preferred.",0.48,low
"Sales Manager with 1 years of experience in FastAPI, Power BI, Docker and NLP. Worked on enterprise applications and delivered scalable solutions.",,0.61,low
"PYTHON DEVELOPER WITH 9 YEARS OF EXPERIENCE IN GIT, DOCKER, PYTHON AND TENSORFLOW. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Python Developer at a growing company. Required skills: Git, Docker, Python, Docker. Experience with team collaboration preferred.",0.71,medium
"Business Analyst with 8 years of experience in Git, Kubernetes, Node.js and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Git, Kubernetes, Node.js, Node.js. Experience with team collaboration preferred.",0.69,medium
"CLOUD ENGINEER WITH 2 YEARS OF EXPERIENCE IN TENSORFLOW, KUBERNETES, SQL AND PANDAS. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Cloud Engineer at a growing company. Required skills: TensorFlow, Kubernetes, SQL, Git. Experience with team collaboration preferred.",-0.2,high
"Frontend Developer with 3 years of experience in React, TensorFlow, Kubernetes and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: React, TensorFlow, Kubernetes, FastAPI. Experience with team collaboration preferred.",0.78,medium
"UI/UX Designer with 9 years of experience in Machine Learning, Leadership, SQL and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Machine Learning, Leadership, SQL, Python. Experience with team collaboration preferred.",0.89,high
"FRONTEND DEVELOPER WITH 4 YEARS OF EXPERIENCE IN POWER BI, SQL, NODE.JS AND CYBERSECURITY. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Frontend Developer at a growing company. Required skills: Power BI, SQL, Node.js, C++. Experience with team collaboration preferred.",99.0,medium
"Business Analyst with 1 years of experience in Git, Cybersecurity, Kubernetes and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Git, Cybersecurity, Kubernetes, C++. Experience with team collaboration preferred.",0.47,low
"AI Engineer with 9 years of experience in Kubernetes, TensorFlow, Docker and Pandas. Worked on enterprise applications and delivered scalable solutions.",,0.63,low
"Cloud Engineer with 6 years of experience in Docker, Java, TensorFlow and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Docker, Java, TensorFlow, Cybersecurity. Experience with team collaboration preferred.",0.94,high
"Business Analyst with 7 years of experience in Docker, Node.js, Cybersecurity and NLP. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Docker, Node.js, Cybersecurity, C++. Experience with team collaboration preferred.",0.77,medium
"BUSINESS ANALYST WITH 9 YEARS OF EXPERIENCE IN C++, MACHINE LEARNING, POWER BI AND CYBERSECURITY. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Business Analyst at a growing company. Required skills: C++, Machine Learning, Power BI, Pandas. Experience with team collaboration preferred.",0.68,medium
"Healthcare Analyst with 6 years of experience in Python, AWS, C++ and Docker. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: Python, AWS, C++, Power BI. Experience with team collaboration preferred.",0.62,low
"Backend Developer with 4 years of experience in Power BI, Node.js, NLP and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: Power BI, Node.js, NLP, Cybersecurity. Experience with team collaboration preferred.",0.54,low
"Cybersecurity Analyst with 6 years of experience in Docker, Communication, Power BI and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: Docker, Communication, Power BI, Kubernetes. Experience with team collaboration preferred.",0.86,high
"Cybersecurity Analyst with 7 years of experience in Cybersecurity, FastAPI, NLP and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: Cybersecurity, FastAPI, NLP, Pandas. Experience with team collaboration preferred.",0.47,low
"Java Developer with 9 years of experience in TensorFlow, SQL, React and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: TensorFlow, SQL, React, NLP. Experience with team collaboration preferred.",0.89,high
"Frontend Developer with 2 years of experience in Linux, C++, Kubernetes and SQL. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Linux, C++, Kubernetes, Java. Experience with team collaboration preferred.",0.93,high
,"Looking for a Backend Developer at a growing company. Required skills: React, Java, Docker, Java. Experience with team collaboration preferred.",0.66,medium
"Data Analyst with 1 years of experience in Git, NLP, Java and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Git, NLP, Java, AWS. Experience with team collaboration preferred.",0.8,medium
